timestamp,mining_difficulty,hash_rate_ths,miner_revenue_usd
2010-05-06,12.8491831478238,9.64491901786208e-05,0.0
2010-05-08,12.8491831478238,9.64491901786208e-05,0.0
2010-05-10,12.8491831478238,8.75068811554374e-05,0.0
2010-05-12,12.8491831478238,8.75068811554374e-05,0.0
2010-05-14,12.8491831478238,7.66483630558576e-05,0.0
2010-05-16,12.8491831478238,7.66483630558576e-05,0.0
2010-05-18,12.8491831478238,0.000107307708278201,0.0
2010-05-20,12.8491831478238,0.000107307708278201,0.0
2010-05-22,11.8462281497047,0.000113064805519858,0.0
2010-05-24,11.8462281497047,0.000113064805519858,0.0
2010-05-26,11.8462281497047,0.000124842389428177,0.0
2010-05-28,11.8462281497047,0.000124842389428177,0.0
2010-05-30,16.6190787518574,0.000124746971748383,0.0
2010-06-01,16.6190787518574,0.000124746971748383,0.0
2010-06-03,16.6190787518574,0.000129703805062888,0.0
2010-06-05,16.6190787518574,0.000129703805062888,0.0
2010-06-07,16.6190787518574,0.000128877666177137,0.0
2010-06-09,16.6190787518574,0.000128877666177137,0.0
2010-06-11,16.6190787518574,0.000138791332806148,0.0
2010-06-13,16.6190787518574,0.000138791332806148,0.0
2010-06-15,17.3814881581401,0.00016935153872945,0.0
2010-06-17,17.3814881581401,0.00016935153872945,0.0
2010-06-19,17.3814881581401,0.000136518077139047,0.0
2010-06-21,17.3814881581401,0.000136518077139047,0.0
2010-06-23,17.3814881581401,0.000147750577156816,0.0
2010-06-25,17.3814881581401,0.000147750577156816,0.0
2010-06-27,19.4047963283822,0.000153374207557116,0.0
2010-06-29,19.4047963283822,0.000153374207557116,0.0
2010-07-01,19.4047963283822,0.00020064047277912,0.0
2010-07-03,19.4047963283822,0.00020064047277912,0.0
2010-07-05,19.4047963283822,0.000169772707736179,0.0
2010-07-07,19.4047963283822,0.000169772707736179,0.0
2010-07-09,23.5012572229032,0.000220799974472116,0.0
2010-07-11,23.5012572229032,0.000220799974472116,0.0
2010-07-13,45.3858223410126,0.00167856925065505,0.0
2010-07-15,45.3858223410126,0.00167856925065505,0.0
2010-07-17,181.543289364051,0.00165149555306384,0.0
2010-07-19,181.543289364051,0.00165149555306384,0.0
2010-07-21,181.543289364051,0.00182296230447484,0.0
2010-07-23,181.543289364051,0.00182296230447484,0.0
